t V 
6.413240290092347e9 3.785321747947681e-7 
6.413257710186728e9 2.790568320234276e-7 
6.413284171841546e9 1.3644995622674726e-7 
6.413322525869189e9 7.08854449180058e-8 
6.41337150938088e9 9.75033868395714e-8 
6.413436244404739e9 1.7862547073251585e-7 
6.413491035471064e9 5.334980450174577e-7 
6.413499756325771e9 7.717309264290061e-7 
6.4135109949181185e9 1.7963604499822915e-6 
6.413513091153183e9 2.3817053783466125e-6 
6.413517652965898e9 8.042667917343888e-6 
6.413518176085883e9 1.1010223486442973e-5 
6.413519096373328e9 3.0669393798567717e-5 
6.413519392243152e9 6.862650610351451e-5 
6.413519473892415e9 0.00010139900911213598 
6.41351960985645e9 0.0002903529936225233 
6.413519681551715e9 0.00014865486724260929 
6.413519753324946e9 3.38535642655839e-5 
6.413519816462975e9 1.4840872951664934e-5 
6.413519962640325e9 1.792697339120594e-5 
6.413520121360915e9 2.2523239051959225e-5 
6.413520407631673e9 3.927555152963166e-5 
6.413520751055516e9 0.00023469904290558384 
6.413520792527326e9 0.00045415863229760005 
6.413520854290444e9 0.00019597397504805106 
6.41352089801774e9 4.271441700665376e-5 
6.413520937893416e9 2.8708933805605598e-5 
6.413521029655849e9 2.9155603684842185e-5 
6.413521134476462e9 2.7244814169491173e-5 
6.41352131079507e9 2.0717953605399982e-5 
6.413521541821964e9 1.2245644756922417e-5 
6.413521843886947e9 6.166063486532535e-6 
6.413522355660012e9 2.5347430267996733e-6 
6.413523006370077e9 1.9761690423187054e-6 
6.413523951414001e9 2.2637423047823473e-6 
6.413525330634617e9 2.821915189454871e-6 
6.413527414038459e9 4.33739289834296e-6 
6.413530327214183e9 1.1520220358548294e-5 
6.413532208661923e9 6.345349647154661e-6 
6.413533958100207e9 1.4010297980102033e-6 
6.413535535334128e9 5.951305309545373e-7 
6.413539367074754e9 3.581578638766451e-7 
6.413543621598895e9 3.9888238083543356e-7 
6.41355086212675e9 4.723239953405428e-7 
6.413560339914488e9 5.842408491573788e-7 
6.413575279819976e9 7.2089493078151e-7 
6.413593208078437e9 4.422978407262747e-7 
6.413611126079864e9 1.700958784658148e-7 
6.41363678984371e9 1.0887859620985049e-7 
6.413675473929301e9 1.3121142848638515e-7 
6.413728988479102e9 1.7383270022086738e-7 
6.413812077637293e9 2.1401786220436645e-7 
6.413897030661992e9 9.918437455506813e-8 
6.413967373341576e9 8.212934649361731e-8 
6.414087045516099e9 2.2550730302432215e-7 
6.414105468117461e9 3.0744716542327925e-7 
6.414140246387548e9 9.707173850992307e-7 
6.414144509195548e9 1.3175595580692025e-6 
6.414152298871218e9 3.7587583507018517e-6 
6.414153366810416e9 5.0211998528592795e-6 
6.414156028252891e9 2.6849181448767324e-5 
6.414156278585944e9 4.1820659928915153e-5 
6.414156380524995e9 5.243726132907765e-5 
6.414156579630681e9 8.027962387085802e-5 
6.414156720576567e9 6.595365029807245e-5 
6.414156900130284e9 2.2059774337197535e-5 
6.414157104449504e9 7.686617243013619e-6 
6.414157415008899e9 2.819375284435995e-6 
6.414157817426365e9 1.2702541120870588e-6 
6.414158427296384e9 5.936761999278258e-7 
6.414159318252228e9 4.0464952065574005e-7 
6.414160645498497e9 4.22900232304733e-7 
6.414162570316195e9 4.4786059933427196e-7 
6.414165432871879e9 4.867370175646393e-7 
6.414169637532265e9 5.529809895133543e-7 
6.4141758807589245e9 6.833126286047547e-7 
6.414185094637217e9 9.958672469053391e-7 
6.414196590341904e9 1.5625904507423117e-6 
6.414205898214274e9 9.437885965380587e-7 
6.414215607942945e9 2.976200167666283e-7 
6.414226882036941e9 1.1327185054881564e-7 
6.414247425792559e9 3.984940279536618e-8 
6.41427235540769e9 2.4619947901485e-8 
6.414313535179687e9 2.421180297718372e-8 
6.41437014557892e9 2.296862114928268e-8 
6.414456664909665e9 2.0374438434122095e-8 
6.414581176987285e9 1.69154498771167e-8 
6.414768778447364e9 1.991645543576318e-8 
6.415043944997938e9 2.5348287546413988e-8 
6.415455342789163e9 3.3802256765421795e-8 
6.41598758652828e9 2.43078668030016e-8 
6.416421624445826e9 1.2975521022998259e-8 
6.417076149070707e9 6.891320372799752e-9 
6.417858137610767e9 7.3190670244646135e-9 
6.41930023842217e9 9.340995588799153e-9 
6.42083072832993e9 1.0786199451047589e-8 
6.421377797464371e9 1.7280359576501806e-8 
6.42198444876552e9 5.0330885370806165e-8 
6.422080552787275e9 7.131607334411045e-8 
6.422281921736411e9 3.4639784097713406e-7 
6.422359038085056e9 1.3130233104186604e-7 
6.422427759055083e9 2.6477568081342038e-8 
6.422496045704762e9 1.082680849129005e-8 
6.422634568836614e9 4.1859357637617795e-9 
6.422796823588655e9 4.01233934221435e-9 
6.42307189872958e9 3.749358549531969e-9 
6.423449473959488e9 3.4439663315070636e-9 
6.424032947005622e9 3.361714265683308e-9 
6.424870871057752e9 3.5706800023930967e-9 
6.426140181699017e9 3.724164516939043e-9 
6.428002901337158e9 3.5356513501825545e-9 
6.43037222696559e9 2.8872649118259507e-9 
6.433999352453066e9 2.0459993604738676e-9 
6.438543152006834e9 1.8730659868143444e-9 
6.444787159750641e9 1.5748899210836144e-9 
6.452015744416109e9 1.221747671372359e-9 
6.46292831016403e9 1.0704194102776603e-9 
6.474691572418467e9 8.986235645208048e-10 
6.492434646333169e9 7.732789641385022e-10 
6.512057876286786e9 7.084257924263779e-10 
